account,nonce,index,credential_creation_date,credential_valid_to_date,credential_count,total_balance,unlocked_balance,locked_balance,baker_id,staked_amount,restake_earnings,pool_status,pool_metadata_url,pool_transaction_commission,pool_finalization_commission,pool_baking_commission,delegation_target
4rTNDoKuh2PxXvt9ARUjJFRmaPcaVJcZLzxCueR8TktyoKZ2pY,1,61,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4q7oubBouRtepGgEfNHrgpHtShLDJe8zybQVNhNsGpYuDV1b8U,1,23,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4peF14JAh4cTvHnXSarsXNJN5Ziaz4Qys6pscFGNeV1q1vb2GD,1,43,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4pRwjZhZ4v4BhyQprSJTrHxLodR8ippEWHZjxX1NAGdCBgM1aQ,1,116,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4onTFyGeMcvvFUAmDskCf4nJ8BU5PomdNK8oH61dg3LXf7DDMX,1,107,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4okmCz5NgkZarMyEqsQkp8BHM9pvxHCrc3y24KBch3iJiuhmvg,1,115,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4oVq5rr8DYASSGA66FTdG2jQGSXS8LxevQweTY3WRmtKtAJxeF,1,60,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4kXxbEJaHgCBqiZAZBxJfaPniDrbGvbemoRmM8AESpVEC4NPhJ,1,95,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4jhENRYSdCcSpmJbhnRyuZd83hrj3KDSKkDuBccmnwJP16g6CQ,1,31,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4jEA62iCK8pGCe6udkqQajyFWWN6LvFKCNcoEdBUe7bBjsqM7Z,1,109,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4jAHwDN5apLhBt8hnMTyPEMqYFC1RakgMnNWEZKXXpVcXdfqkY,1,104,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4goshVS6wArScuT5WpZUdm2iR1FFFrjm5mAeCaC16UZQSDBHan,1,99,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4e8oiKq2hQKszABiL9zrQbkKwokSqpzwxcZpm6v5G4bZNkR2p5,1,92,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4dd3mP61vKJjpWifQabR77xcKH1ocxLq7wFj5jVQnEGQnuWSR5,1,77,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4d13WVDNKVGDUxRUb1PRQAJyTwWSVcjWS7uwZ1oqmDm5icQEPT,1,3,2021-05-01,2026-05-01,7,400127753.594697,400127753.594697,0.0,3,400126753.594697,True,open_for_all,,0.0,0.0,0.0,
4cVyfCBPscq166kWUGyoY74vTirSuDregvvzhiAxVQT5AJDWZ5,1,121,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4bhKc5rUDqBhSpBKhbeHnjNgk4xvxvtUXFFauFxVJsA2vykbBe,1,27,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4bJjjs9SyQK3uS7avU3A8oc1kXuffDhJpsT7ttY4mqSnGmcdKY,1,52,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4aNQqUsmpz5yAfjo1dMfmRn9MfjHHAcfLkCXiwJB5ifH9U3wmr,1,94,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4Y9eZzPchSFargBz9toRNUbhkLEfxrm3tTzt4k6KG3j7vtvrn2,4,19,2021-06-01,2026-06-01,1,2600.0,2600.0,0.0,19,2600.0,True,open_for_all,,0.0,0.0,0.0,
4Xf62r8BX6Jw7UDr28nrSwAjcpnqKUT5mwVqjb7ERVpiGMtfpr,1,108,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4X3fJrEZFmeVkLJKHJuwzk8FqrFqSkF73zY3dvmrrpfDsf2CZG,1,34,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4TSZG5wPCYTJTUq6ZfQFNbJkPeSrDxPnnYkn2yG8FYUG6ZhPN9,1,65,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4SmfpioUE6Fv2rqQR8cvxzmE5maGDJg3QxDECUwBbowLYYxfBA,1,55,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4SbjBWUM6RYeZAcMjvEPY8f8XvXBzDYFo1S8VKfAtMTUYZ8nn8,1,29,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4STEUWfV4WGbZP7HLybDTbVfMnp7pFH3CQsJPMrpCVZEV2wQ6P,1,21,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4S9rLxtpQyYN9jfVtzzPN7Uof6XiYhhQwLjvDdN4xUeKmxbra3,1,18,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4RnBuiDK4PYoLsX65NFJg88VTJYsKEUpNEqUoA1rKd4YUCu8Ln,1,40,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4RXPAomNg8quS6cRGZ4DDVXx2W9jCZNUuoAb3XczytvVLoi4k5,1,88,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4R3DRDyRLFJkb52aa5BTdShu6pnWWxYfY1xgfEPzvobzyavbTG,1,117,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4Qgo54XRa84f8kpAhisqdzXBSp5UxpZ3xYV81aAoAHkkwtghmq,1,35,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4Q7gEWsXYKJMp85BHK6w8yUxc4QGoepAJbyKCMVaQn2pixqGid,1,85,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4PgPRbRijFj3jEWFcwKU69aysWB5hVb7u2ii9u7cSfNANQa1xM,1,50,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4MUCuM9pbtiu9wz6Bw7MMVRsNQGnMx7NTDTZUnfjni2BdwLxNj,1,84,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4MPJybKC9Kz7kw9KNyLHhuAEt4ZTxLsd3DBDbxtKdUiv4fXqVN,1,6,2021-05-01,2026-05-01,7,547985785.156452,547985785.156452,0.0,6,547984785.156452,True,open_for_all,,0.0,0.0,0.0,
4LjMYFWBCKVRWPRC8cDfa5BiYhPvyf5ZMVzrqbdtKEFg8koX6T,1,68,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4LH62AZmugKXFA2xXZhpoNbt2fFhAn8182kdHgxCu8cyiZGo2c,2,13,2021-05-01,2026-05-01,3,195823.589179,195823.589179,0.0,,,,,,,,,
4KxTDMrzen9Fs8gnRzG4tuk6RE3tvc2HemDDchnaR9zXUirH5G,1,26,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4Js97JDE5uH92nB4oJT1uXtUTcFWdTMBE44q1umMQADtRYcBnT,1,106,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4JoSnoctkSYeDXb7BANcHHNi7n268TYjFVXqe3r4opssfeY6Pc,1,62,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4JJGNCdRQ2tpFoZFeSrKKqzeJXy6XtLDtgvUam8MrBfy5djVUN,1,69,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4FvERgGjrq7pHkVnByBvSBkeogKQeTAVLsyQpZzLTqb15jGfLP,1,33,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4FFUHFZ8dNXbywoJ2EnZjhikNZgt96reMLNdKdUhZTu7jAJYsS,1,24,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4CqVcmNi9F5V53YdJZ9U5sLaqaWt7Uxrf8VYk5WCLDYwbLL62Y,2,12,2021-05-01,2026-05-01,3,499999999.99399,499999999.99399,0.0,,,,,,,,,
4Bqmyg4nHXgbW89Q3zwLbhTENqeiJUAR4kc1HUAPjAGT2sWuSx,1,98,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4BSxinvHLqJewvX2CMmUVPyXjVCBeMHoK35c2NWKCx8qziKBNY,1,76,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4BHU9Fvr1bdQR4japcssssxRn3jzswiFsaen9P8oNRk2XeBuDY,1,91,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
4Atm7FAJnF35XVgQZErwaPukwegvk9YfTnQunaLuN24jBErJak,1,118,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
49T2t9hbBgd1MwKgPU3HTNPqSrUvaK2ixjPQ2Svr4cUkyEPFx7,1,42,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
49SJ6R6T9zo1C5cLVyxbwAuZC3EcDB9a78vSQYm3ZLA2y2eojM,1,0,2021-05-01,2026-05-01,7,400134121.145987,400134121.145987,0.0,0,400133121.145987,True,open_for_all,,0.0,0.0,0.0,
47xTHwtFra1d4Mq4DYZuZYJEYrDXY34C4CGkTTzT6eiwjEczuT,1,1,2021-05-01,2026-05-01,7,400130662.426726,400130662.426726,0.0,1,400129662.426726,True,open_for_all,,0.0,0.0,0.0,
46iAKejVcN1C41njZjSBDmkVV3fwcnaiiQuunxWuDkPJ6UwN8d,1,63,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
44bxoGippBqpgseaiYPFnYgi5J5q58bQKfpQFeGbY9DHmDPD78,1,8,2021-05-01,2026-05-01,7,3882619997.0,3882619997.0,0.0,8,0.0,True,open_for_all,,0.0,0.0,0.0,
44PTWQc5tQytSAsWeg8dX31QEagAmtugYKtsxBzZVzuPQELjba,1,103,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
43kxtVQjVomuLbQTsEvM7zYSmyoNKVa1GxW79vPDr8gUC2Kc7J,1,119,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
43hpfYSuZ9KGsEvvkW6w2E2HqwTUHGKuR8p8HWnAegUudiA9Tv,1,37,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
42Hc6eq8GaKpz7w9B7tGD1mNWLjbYFq3iSyK5NjNPNif7fgNVS,6,15,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
413aEjVLtRggPtF3LWdHqHtDdZ5kYDcv1GktNJ14doPKrguuBx,1,100,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3wdkVjFdRr6PJKzorxJxyM3cdwqcDVTKvXDhvf2DvE6qTkSxQ6,1,53,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3uaVq2F5bZPe9xp343yguNxT65JgfpvT6SV26WoJvXq2pEBwvb,1,113,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3sHsnFvcbjZdNs1epzXa4bH8ArDhSbr4oAZG3Wp9zJaQzXv1bg,1,25,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3qnQ37iwK6aTj5MdLxsYN8dDK4rWNT9476LHYo7YTNg1C65Dda,1,48,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3qXuV3oHXwkRdmWgygPvQ1DgtktMxRAkzSW8cZ6dRFDZ26YVo7,1,111,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3qMAw1SX6RJ2GCRpM3YCyYimKvmf7e4nLmsn7csHug2mfse4JB,1,70,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3q12CQqD4SEEBm5NyJuvne5oechxU4ffx6UV3CEWokBYikBkUh,1,39,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3pXHeDVKjJ5prbfbBqzZ3DRZG95V4iW2ELzU9iPvW6cCRb8gAn,1,66,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3ofwYFAkgV59BsHqzmiWyRmmKRB5ZzrPfbmx5nup24cE53jNX5,1,5,2021-05-01,2026-05-01,7,400132069.379969,400132069.379969,0.0,5,400131069.379969,True,open_for_all,,0.0,0.0,0.0,
3mwY1mKfoBHAESQQyEKNgtanZ9i6XhdTegvLZotsWF2setB12u,1,80,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3me8FezaNRA9BDzhPJxAZDwQeAVJEK27JL7Z2fLeugVD2rmRFj,1,71,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3mdwwVWLQSuRiX6hkpDxz29XZ3tEE73KkSzbE1LVQjtiCTcAHU,1,86,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3mdZZmkawtAcogic7EXQjurbJit47aouY2gNxb12G4MNQthURa,1,67,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3mGDa6mnN96hgYn62m3BfjXB3Juk4UnmPDEpEGGQAsuTf9AVij,1,41,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3ieGt8c6WFnGy2gXTmbvVogp1pdz6HcqkBGXepNpxCorzc8FGT,1,75,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3iHXe29rs7951H7oi8u4W1esWn1ADPAWWR8YbLJiyyhPm7kBCa,1,101,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3hDkrCo94T4gedjWYdTADCRw66WebPkhDdkjkwzG22S8dekQ55,1,78,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3h6UhcgsEMU9ZUMtjKivBjGiQCNxNv6yFXwcj3L8JyvUD5W986,1,90,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
3gef2dAVjhbZp6YnVKHPr4pza4Qp9nVNdv2vSXi5cc9Z5GVBTz,1,38,2021-06-01,2026-06-01,1,0.0,0.0,0.0,,,,,,,,,
